Feature,Importance
Outstanding_Debt,0.11483069333656569
Interest_Rate,0.0822320091233319
Credit_Mix,0.06750611465980565
Delay_from_due_date,0.06051723899677533
Debt_to_Income,0.04819622856984673
Credit_History_Age,0.04637104517726724
Changed_Credit_Limit,0.0439100016395288
Num_Credit_Card,0.04043260057329728
Num_Credit_Inquiries,0.03925194383116209
EMI_to_Income,0.037165901057469225
Annual_Income,0.03489957754094115
Monthly_Balance,0.03308145552087027
Total_EMI_per_month,0.032795177146716564
Credit_Utilization_Ratio,0.03215654263029687
Num_Bank_Accounts,0.032028672645710986
Utilization_Impact,0.03185165824637825
Age,0.03156213518809412
Monthly_Inhand_Salary,0.03133823059917138
Amount_invested_monthly,0.030720402325053447
Payment_of_Min_Amount,0.02929175200002317
Num_of_Delayed_Payment,0.026841864390319346
Occupation,0.023296243744219423
Month,0.019794265113936598
Payment_Behaviour,0.015047451330021137
Num_of_Loan,0.01488079461319761
